Day,DNI
07/11/24,4568
08/11/24,4539
09/11/24,4507
10/11/24,4477
11/11/24,4446
12/11/24,4395
13/11/24,4392
14/11/24,4049
15/11/24,4335
16/11/24,4277
17/11/24,4278
18/11/24,4248
19/11/24,4221
20/11/24,4067
21/11/24,4161
